               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099437,            0.029172,                   0,             0.23553,             0.21753,             0.11562,            0.025763,            0.088685,            0.021949,                   0,           0.0032932,           0.0032932,            0.070361
                   1,            0.071415,            0.028575,                   0,              0.4691,             0.34848,             0.33588,              0.1045,            0.066331,            0.020602,                   0,           0.0064953,           0.0064953,             0.04023
                   2,            0.062685,            0.026066,                   0,             0.53119,             0.38485,             0.39556,             0.13172,            0.059162,            0.020484,                   0,           0.0095654,           0.0095654,            0.009967
                   3,             0.05579,            0.023968,                   0,             0.72627,             0.56364,             0.62421,             0.24978,            0.053155,            0.017886,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.050228,            0.024214,                   0,             0.74711,             0.59697,              0.6678,             0.30825,            0.047413,            0.017118,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.047001,            0.023728,                   0,             0.74229,             0.55758,             0.61109,             0.29771,            0.046317,            0.017728,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.045801,             0.02239,                   0,             0.68563,             0.60303,              0.6463,             0.30453,            0.046801,            0.017205,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.045145,            0.022904,                   0,             0.67138,             0.61212,             0.63302,             0.29423,            0.047439,            0.016923,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.042742,            0.022334,                   0,             0.74122,             0.50606,             0.58291,             0.22913,            0.055541,             0.01725,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.042532,            0.021638,                   0,             0.80998,              0.6303,              0.7178,              0.3701,            0.043187,            0.015758,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.041985,            0.021409,                   0,             0.72687,             0.65152,             0.69794,             0.36671,            0.043711,            0.016295,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.041337,            0.021847,                   0,             0.71438,             0.57602,             0.63002,             0.30016,            0.046419,            0.017445,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.039833,            0.021403,                   0,             0.80213,             0.64545,             0.70899,             0.37889,            0.040878,            0.017113,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.039752,            0.021137,                   0,             0.76603,             0.61818,             0.68656,             0.35537,            0.041997,            0.016262,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.039195,            0.020542,                   0,             0.73249,              0.6303,             0.68495,             0.36987,            0.041467,            0.017355,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.039444,            0.021049,                   0,             0.74813,             0.62121,              0.6956,             0.36645,            0.041355,            0.015822,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.037404,            0.020368,                   0,             0.78462,             0.64848,             0.73918,             0.41096,            0.039897,             0.01565,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.037995,            0.020738,                   0,             0.77926,             0.62727,             0.72555,              0.3838,            0.040641,            0.016023,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.037648,            0.020947,                   0,             0.80926,             0.62424,             0.73268,             0.39176,            0.039993,            0.016099,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.037667,            0.020352,                   0,             0.77186,             0.65617,             0.73129,             0.40873,            0.039393,            0.016204,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.036705,            0.020395,                   0,             0.78371,             0.66667,             0.72849,             0.40838,            0.039864,            0.015782,                   0,            0.006238,            0.006238,            0.006238
                  21,             0.03595,            0.019906,                   0,             0.73571,             0.63267,             0.70346,             0.37331,             0.04082,            0.016925,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.036049,            0.020094,                   0,             0.79579,             0.63768,             0.71322,              0.4124,             0.03927,            0.017737,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.035421,             0.01908,                   0,             0.79787,             0.65758,             0.73773,             0.41709,            0.039007,            0.016059,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.035631,            0.020111,                   0,             0.78378,             0.65152,             0.74236,             0.42867,            0.038213,            0.016819,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.034901,            0.019459,                   0,             0.76333,             0.66667,             0.72237,             0.42432,             0.03794,            0.016838,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.035176,             0.01964,                   0,             0.87711,             0.57576,             0.72083,             0.41084,             0.04168,            0.016395,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.034622,             0.01952,                   0,             0.81984,             0.63333,              0.7379,             0.41244,            0.038681,            0.016328,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.034295,            0.019367,                   0,             0.86938,             0.62524,             0.76494,             0.43175,            0.037897,            0.015857,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.034344,            0.019058,                   0,             0.84752,             0.63333,             0.73439,             0.39934,            0.039108,            0.016362,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.033709,            0.018809,                   0,             0.87292,              0.6303,              0.7516,             0.43371,            0.037308,             0.01649,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.033202,            0.018339,                   0,             0.80143,             0.67576,             0.75436,             0.42788,            0.037325,            0.016866,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.032473,            0.018706,                   0,             0.79898,             0.66061,             0.74629,             0.44468,            0.036861,            0.017439,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.032774,             0.01883,                   0,             0.88803,              0.6303,             0.75251,             0.44619,            0.037545,            0.016565,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.032875,            0.018475,                   0,              0.8047,             0.63676,             0.73672,             0.41815,             0.03883,            0.016637,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.032624,            0.018514,                   0,             0.81095,              0.6697,               0.757,             0.44405,            0.037129,             0.01616,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.032167,            0.017887,                   0,             0.83807,             0.67273,             0.76901,             0.45435,            0.036763,            0.015723,                   0,             0.00307,             0.00307,             0.00307
                  37,               0.032,            0.018413,                   0,             0.82631,             0.63636,             0.74582,             0.44557,            0.037372,            0.016311,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.031629,            0.018222,                   0,             0.80069,             0.69697,             0.76513,             0.44822,            0.037293,            0.015719,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.031548,            0.018549,                   0,             0.84458,              0.6587,             0.75766,             0.44661,            0.037327,            0.016176,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.030943,            0.017849,                   0,             0.85201,             0.64848,              0.7515,             0.45472,            0.037275,              0.0159,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.030979,            0.017893,                   0,              0.8536,             0.64545,             0.76066,             0.45399,             0.03723,            0.015795,                   0,             0.00208,             0.00208,             0.00208
                  42,               0.031,             0.01766,                   0,             0.84888,             0.64242,              0.7569,             0.45849,            0.037251,            0.015861,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.031021,            0.017846,                   0,             0.82703,             0.65455,             0.75214,             0.44755,            0.036815,            0.016459,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.030744,            0.017576,                   0,             0.83293,             0.66364,             0.75593,             0.45344,            0.037097,             0.01608,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.030674,            0.017451,                   0,               0.788,             0.67879,             0.75176,             0.45486,            0.036766,            0.015928,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.030344,            0.017664,                   0,             0.85492,             0.64286,             0.76182,             0.46729,            0.036663,            0.016123,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.029543,            0.017489,                   0,             0.87027,             0.63636,             0.76052,             0.45898,            0.037507,            0.016059,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.029984,            0.017347,                   0,             0.83631,             0.65024,             0.76433,             0.46247,             0.03688,            0.015743,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.029793,            0.017534,                   0,             0.83443,              0.6567,             0.76733,             0.46265,            0.037011,            0.015844,                   0,            0.000496,            0.000496,            0.000496
